2018 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: This publication now includes the retention, and continuation and attainment data.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
HA,LCI_INS_AGEN_DIS,Applied general value added lower confidence limit for disadvantaged students,,,,
HB,ENTRIES_ALEV_NOTDIS,Number of A level entries by non-disadvantaged students included in value added measure,,,,
HC,VA_INS_ALEV_NOTDIS,A level value added score for non-disadvantaged students,,,,
HD,UCI_INS_ALEV_NOTDIS,A level  value added upper confidence limit for non-disadvantaged students,,,,
HE,LCI_INS_ALEV_NOTDIS,A level value added lower confidence limit for non-disadvantaged students,,,,
HF,ENTRIES_ACAD_NOTDIS,Number of academic entries by non-disadvantaged students included in value added measure,,,,
HG,VA_INS_ACAD_NOTDIS,Academic value added score for non-disadvantaged students,,,,
HH,UCI_INS_ACAD_NOTDIS,Academic value added upper confidence limit for non-disadvantaged students,,,,
HI,LCI_INS_ACAD_NOTDIS,Academic value added lower confidence limit for non-disadvantaged students,,,,
HJ,ENTRIES_AGEN_NOTDIS,Number of applied general entries by non-disadvantaged students included in value added measure,,,,
HK,VA_INS_AGEN_NOTDIS,Applied general value added score for non-disadvantaged students,,,,
HL,UCI_INS_AGEN_NOTDIS,Applied general value added upper confidence limit for non-disadvantaged students,,,,
HM,LCI_INS_AGEN_NOTDIS,Applied general value added lower confidence limit for non-disadvantaged students,,,,
HN,TALLPUP_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HO,TALLPUP_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HP,TALLPUP_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HQ,TALLPUP_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HR,TALLPUP_ALEV_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HS,TALLPUP_ALEV_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HT,TALLPPE_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HU,TALLPPE_ALEV_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HV,TALLPPE_ALEV_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HW,TALLPPEGRD_ALEV_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HX,TALLPPEGRD_ALEV_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HY,TALLPPEGRD_ALEV_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HZ,TALLPUP_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IA,TALLPUP_ACAD_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IB,TALLPUP_ACAD_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IC,TALLPPE_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
ID,TALLPPE_ACAD_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IE,TALLPPE_ACAD_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IF,TALLPPEGRD_ACAD_1618_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IG,TALLPPEGRD_ACAD_1618_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IH,TALLPPEGRD_ACAD_1618_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
II,TALLPUP_AGEN_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IJ,TALLPUP_AGEN_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IK,TALLPUP_AGEN_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IL,TALLPPE_AGEN_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IM,TALLPPE_AGEN_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IN,TALLPPE_AGEN_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IO,TALLPPEGRD_AGEN_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IP,TALLPPEGRD_AGEN_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IQ,TALLPPEGRD_AGEN_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IR,TALLPUP_TLEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IS,TALLPUP_TLEV_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IT,TALLPUP_TLEV_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IU,TALLPPE_TLEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IV,TALLPPE_TLEV_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IW,TALLPPE_TLEV_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IX,TALLPPEGRD_TLEV_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IY,TALLPPEGRD_TLEV_16,This is a historical variable. It holds the 2016 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IZ,TALLPPEGRD_TLEV_15,This is a historical variable. It holds the 2015 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
JA,TALLPUP_TECHCERT_17,This is a historical variable. It holds the 2017 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
